Description	
Number of Runs	750
Preset Time	1
Pause Time	0
Alarm Level	0
High Voltage	900
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
166	900	1190	1	04/10/25 12:13:21 PM	
167	900	1149	1	04/10/25 12:13:23 PM	
168	900	1159	1	04/10/25 12:13:24 PM	
169	900	1149	1	04/10/25 12:13:25 PM	
170	900	1159	1	04/10/25 12:13:26 PM	
171	900	1170	1	04/10/25 12:13:27 PM	
172	900	1173	1	04/10/25 12:13:29 PM	
173	900	1172	1	04/10/25 12:13:30 PM	
174	900	1180	1	04/10/25 12:13:31 PM	
175	900	1142	1	04/10/25 12:13:32 PM	
176	900	1165	1	04/10/25 12:13:34 PM	
177	900	1172	1	04/10/25 12:13:35 PM	
178	900	1160	1	04/10/25 12:13:36 PM	
179	900	1135	1	04/10/25 12:13:37 PM	
180	900	1182	1	04/10/25 12:13:38 PM	
181	900	1177	1	04/10/25 12:13:40 PM	
182	900	1137	1	04/10/25 12:13:41 PM	
183	900	1136	1	04/10/25 12:13:42 PM	
184	900	1139	1	04/10/25 12:13:43 PM	
185	900	1155	1	04/10/25 12:13:44 PM	
186	900	1178	1	04/10/25 12:13:46 PM	
187	900	1151	1	04/10/25 12:13:47 PM	
188	900	1147	1	04/10/25 12:13:48 PM	
189	900	1170	1	04/10/25 12:13:49 PM	
190	900	1150	1	04/10/25 12:13:50 PM	
191	900	1147	1	04/10/25 12:13:52 PM	
192	900	1161	1	04/10/25 12:13:53 PM	
193	900	1164	1	04/10/25 12:13:54 PM	
194	900	1163	1	04/10/25 12:13:55 PM	
195	900	1150	1	04/10/25 12:13:57 PM	
196	900	1160	1	04/10/25 12:13:58 PM	
197	900	1159	1	04/10/25 12:13:59 PM	
198	900	1184	1	04/10/25 12:14:00 PM	
199	900	1174	1	04/10/25 12:14:01 PM	
200	900	1149	1	04/10/25 12:14:02 PM	
201	900	1147	1	04/10/25 12:14:04 PM	
202	900	1175	1	04/10/25 12:14:05 PM	
203	900	1179	1	04/10/25 12:14:06 PM	
204	900	1151	1	04/10/25 12:14:07 PM	
205	900	1171	1	04/10/25 12:14:08 PM	
206	900	1152	1	04/10/25 12:14:10 PM	
207	900	1136	1	04/10/25 12:14:11 PM	
208	900	1148	1	04/10/25 12:14:12 PM	
209	900	1142	1	04/10/25 12:14:13 PM	
210	900	1185	1	04/10/25 12:14:14 PM	
211	900	1184	1	04/10/25 12:14:16 PM	
212	900	1173	1	04/10/25 12:14:17 PM	
213	900	1177	1	04/10/25 12:14:18 PM	
214	900	1158	1	04/10/25 12:14:19 PM	
215	900	1167	1	04/10/25 12:14:20 PM	
216	900	1142	1	04/10/25 12:14:21 PM	
217	900	1170	1	04/10/25 12:14:23 PM	
218	900	1174	1	04/10/25 12:14:24 PM	
219	900	1162	1	04/10/25 12:14:25 PM	
220	900	1161	1	04/10/25 12:14:26 PM	
221	900	1149	1	04/10/25 12:14:27 PM	
222	900	1163	1	04/10/25 12:14:29 PM	
223	900	1166	1	04/10/25 12:14:30 PM	
224	900	1142	1	04/10/25 12:14:31 PM	
225	900	1165	1	04/10/25 12:14:32 PM	
226	900	1183	1	04/10/25 12:14:33 PM	
227	900	1171	1	04/10/25 12:14:34 PM	
228	900	1137	1	04/10/25 12:14:36 PM	
229	900	1153	1	04/10/25 12:14:37 PM	
230	900	1188	1	04/10/25 12:14:38 PM	
231	900	1186	1	04/10/25 12:14:39 PM	
232	900	1133	1	04/10/25 12:14:40 PM	
233	900	1146	1	04/10/25 12:14:42 PM	
234	900	1185	1	04/10/25 12:14:43 PM	
235	900	1167	1	04/10/25 12:14:44 PM	
236	900	1153	1	04/10/25 12:14:45 PM	
237	900	1186	1	04/10/25 12:14:46 PM	
238	900	1143	1	04/10/25 12:14:47 PM	
239	900	1155	1	04/10/25 12:14:49 PM	
240	900	1178	1	04/10/25 12:14:50 PM	
241	900	1139	1	04/10/25 12:14:51 PM	
242	900	1180	1	04/10/25 12:14:52 PM	
243	900	1183	1	04/10/25 12:14:53 PM	
244	900	1113	1	04/10/25 12:14:54 PM	
245	900	1154	1	04/10/25 12:14:56 PM	
246	900	1173	1	04/10/25 12:14:57 PM	
247	900	1133	1	04/10/25 12:14:58 PM	
248	900	1175	1	04/10/25 12:14:59 PM	
249	900	1147	1	04/10/25 12:15:00 PM	
250	900	1152	1	04/10/25 12:15:02 PM	
251	900	1175	1	04/10/25 12:15:03 PM	
252	900	1164	1	04/10/25 12:15:04 PM	
253	900	1161	1	04/10/25 12:15:05 PM	
254	900	1171	1	04/10/25 12:15:06 PM	
255	900	1165	1	04/10/25 12:15:08 PM	
